value,emory_probability,mimic_probability,rush_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
0.1,,0.060214023318958636,0.2570469798657718,0.17917322206261257,,0.19367680953600447,0.09348814724629377
0.10500000000000001,0.043914759273875295,,,,,,
0.13,,,,,0.09137055837563451,,
0.2245,,,0.10556088207094919,,,,
0.2495,,0.09064047276792844,,0.25103176231844404,,0.1434940516378367,0.2193229427773401
0.2595,0.11599052880820837,,,,,,
0.2655,,,,,0.116751269035533,,
0.28500000000000003,,,0.1074784276126558,,,,
0.35,,,,0.10388307453770208,,0.09913160896794171,0.13918928597006375
0.37,,,0.09769894534995206,,,,
0.375,0.12385161799526441,,,,,,
0.391,,,,,0.1218274111675127,,
0.4,,0.10884842676888676,,,,,
0.45,,,,,,0.11880427443950364,0.10898893504261262
0.485,0.10847671665351223,,,,,,
0.5,,,,0.1352463688806804,,,
0.505,,,0.1065196548418025,,,,
0.546,,,,,0.10152284263959391,,
0.55,,0.0465580578182399,,,,,
0.55,,,,,,,0.07917800615913485
0.575,,,,,,0.07006495471794752,
0.615,0.11854775059194948,,,,,,
0.7,,0.08904328382047597,,,,,
0.743,,,,,0.1116751269035533,,
0.745,,,0.09923298178331735,,,,
0.75,,,,0.10123811478213283,,,
0.75,,,,,,,0.1332830516364678
0.775,,,,,,0.10773403487532884,
0.7949999999999999,0.1107182320441989,,,,,,
0.8500000000000001,,0.040169302028429964,,,,,
0.877,,,,,0.116751269035533,,
0.9095,,,,,0.10152284263959391,,
0.9495,,,,0.04654901156029824,,,0.05723608823318771
0.9850000000000001,,,,,0.04060913705583756,,
0.9995,,,,,,0.062405419877540565,
1.0045000000000002,0.07753749013417521,,,,,,
1.0295,,,0.04707574304889741,,,,
1.0495,,0.13743810892828623,,,,,
1.1,,,,,,,0.034862225166511496
1.2,,,,0.05101808149212213,,,
1.2189999999999999,,,,,0.06091370558375635,,
1.25,,,,,,0.04507252112774428,
1.275,0.0749802683504341,,,,,,
1.388,,,0.04343240651965484,,,,
1.4,,0.08936272160996646,,,,,
1.45,,,,,,,0.04495362744395903
1.7,,,,,,0.052627290294042325,
1.7009999999999998,,,,,0.06598984771573604,,
1.75,,,,0.04367603803269717,,,
1.76,0.07475927387529598,,,,,,
2.0415,,,,,0.015228426395939087,,
2.048,,,0.045349952061361457,,,,
2.05,,0.11507746366395144,,,,,
2.296,,,,,0.015228426395939087,,
2.45,,,,,,,0.04356379359736446
2.65,,,,,,0.05368658766558797,
2.654,,,,,0.01015228426395939,,
2.9000000000000004,,,,0.041749321659028206,,,
2.99,0.07529597474348855,,,,,,
2.995,,,,,0.015228426395939087,,
3.3,,0.10677208113719854,,,,,
3.4995000000000003,,,,,,,0.00935731934398052
3.5495,,,,,,0.01072102065047843,
3.635,,,0.04525407478427613,,,,
3.9495000000000005,,,,0.009587979113938482,,,
4.1,,,,,,0.010709380020021884,
4.2295,0.01521704814522494,,,,,,
4.3,,,,,,,0.00967288548306238
4.349499999999999,,0.02539530426449449,,,,,
4.415,,,,,0.015228426395939087,,
4.6,,,,0.009804592197368721,,,
4.95,,,,,,0.011175005238283705,
5.015,0.015185477505919495,,,,,,
5.05,,0.022280785816962148,,,,,
5.1895,,,0.009204218600191754,,,,
5.449999999999999,,,,,,,0.008791090739812362
5.5,,,,0.008824132977631849,,,
6.09,0.015280189423835832,,,,,,
6.15,,0.023239099185433636,,,,,
6.245,,,0.009108341323106424,,,,
6.6,,,,,,0.010255395432216608,
6.75,,,,0.009063547438265271,,,
7.3,,,,,,,0.008963421184559192
7.882000000000001,,,0.008916586768935763,,,,
7.949999999999999,,0.021801629132726402,,,,,
8.055,0.015122336227308603,,,,,,
10.209,,,0.009012464046021093,,,,
15.5,,,,,,0.010441645519521337,
18.75,,0.023159239738061013,,,,,
18.8,,,,0.009154752947078003,,,
23.9,,,,,,,0.009149179975649933
24.127000000000002,,,0.009108341323106424,,,,
26.345,0.015122336227308603,,,,,,
