sofa_score,total_encounters__Emory,total_encounters__MIMIC,total_encounters__NU,total_encounters__OHSU,total_encounters__RUSH,total_encounters__UCMC,total_encounters__UCSF,total_encounters__UMN,total_encounters__UPenn,total_encounters__ALL,n_encounters__Emory,n_encounters__MIMIC,n_encounters__NU,n_encounters__OHSU,n_encounters__RUSH,n_encounters__UCMC,n_encounters__UCSF,n_encounters__UMN,n_encounters__UPenn,n_encounters__ALL,n_deaths__Emory,n_deaths__MIMIC,n_deaths__NU,n_deaths__OHSU,n_deaths__RUSH,n_deaths__UCMC,n_deaths__UCSF,n_deaths__UMN,n_deaths__UPenn,n_deaths__ALL,mortality_rate_percent__Emory,mortality_rate_percent__MIMIC,mortality_rate_percent__NU,mortality_rate_percent__OHSU,mortality_rate_percent__RUSH,mortality_rate_percent__UCMC,mortality_rate_percent__UCSF,mortality_rate_percent__UMN,mortality_rate_percent__UPenn,mortality_rate_percent__ALL,ci_lower_95__Emory,ci_lower_95__MIMIC,ci_lower_95__NU,ci_lower_95__OHSU,ci_lower_95__RUSH,ci_lower_95__UCMC,ci_lower_95__UCSF,ci_lower_95__UMN,ci_lower_95__UPenn,ci_lower_95__ALL,ci_upper_95__Emory,ci_upper_95__MIMIC,ci_upper_95__NU,ci_upper_95__OHSU,ci_upper_95__RUSH,ci_upper_95__UCMC,ci_upper_95__UCSF,ci_upper_95__UMN,ci_upper_95__UPenn,ci_upper_95__ALL,ci_margin_95__Emory,ci_margin_95__MIMIC,ci_margin_95__NU,ci_margin_95__OHSU,ci_margin_95__RUSH,ci_margin_95__UCMC,ci_margin_95__UCSF,ci_margin_95__UMN,ci_margin_95__UPenn,ci_margin_95__ALL
0,78000,84809.0,125101,56399.0,57642.0,41148,77246,156828,167797.0,844970,12222,6551.0,18137,7184.0,10144.0,7018,6479,36036,41817.0,145588,528,395.0,474,238.0,480.0,244,242,1160,1482.0,5243,4.32,6.03,2.61,3.31,4.73,3.48,3.74,3.22,3.54,3.600032,3.96,5.45,2.38,2.9,4.32,3.05,3.27,3.04,3.37,3.331235,4.68,6.61,2.85,3.73,5.15,3.91,4.2,3.4,3.72,3.873693,0.36,0.58,0.23,0.41,0.41,0.43,0.46,0.18,0.18,0.271225
1,78000,84809.0,125101,56399.0,57642.0,41148,77246,156828,167797.0,844970,16605,14653.0,24770,11083.0,13092.0,5626,14159,36809,35989.0,172786,923,899.0,1059,429.0,728.0,314,467,1706,1980.0,8505,5.56,6.14,4.28,3.87,5.56,5.58,3.3,4.63,5.5,4.922126,5.21,5.75,4.02,3.51,5.17,4.98,3.0,4.42,5.27,4.62874,5.91,6.52,4.53,4.23,5.95,6.18,3.59,4.85,5.74,5.216625,0.35,0.39,0.25,0.36,0.39,0.6,0.29,0.21,0.24,0.293216
2,78000,84809.0,125101,56399.0,57642.0,41148,77246,156828,167797.0,844970,11701,13172.0,16155,7188.0,7927.0,3719,12178,21937,22414.0,116391,839,945.0,1148,421.0,576.0,283,439,1605,1842.0,8098,7.17,7.17,7.11,5.86,7.27,7.61,3.6,7.32,8.22,6.958586,6.7,6.73,6.71,5.31,6.69,6.76,3.27,6.97,7.86,6.535571,7.64,7.62,7.5,6.4,7.84,8.46,3.94,7.66,8.58,7.379207,0.47,0.44,0.4,0.54,0.57,0.85,0.33,0.34,0.36,0.419831
3,78000,84809.0,125101,56399.0,57642.0,41148,77246,156828,167797.0,844970,9215,10373.0,12022,5811.0,6134.0,3204,8450,16454,17165.0,88828,1104,1079.0,1311,515.0,755.0,349,508,1730,2116.0,9467,11.98,10.4,10.91,8.86,12.31,10.89,6.01,10.51,12.33,10.657473,11.32,9.81,10.35,8.13,11.49,9.81,5.5,10.05,11.84,10.07257,12.64,10.99,11.46,9.59,13.13,11.97,6.52,10.98,12.82,11.242874,0.66,0.59,0.56,0.73,0.82,1.08,0.51,0.47,0.49,0.586755
4,78000,84809.0,125101,56399.0,57642.0,41148,77246,156828,167797.0,844970,8965,9983.0,10538,5680.0,5884.0,3374,7253,14362,15607.0,81646,1160,1264.0,1567,667.0,887.0,390,566,2032,2303.0,10836,12.94,12.66,14.87,11.74,15.07,11.56,7.8,14.15,14.76,13.271997,12.24,12.01,14.19,10.91,14.16,10.48,7.19,13.58,14.2,12.598435,13.63,13.31,15.55,12.58,15.99,12.64,8.42,14.72,15.31,13.944854,0.69,0.65,0.68,0.84,0.91,1.08,0.62,0.57,0.56,0.674048
5,78000,84809.0,125101,56399.0,57642.0,41148,77246,156828,167797.0,844970,7158,8065.0,8475,4712.0,4625.0,2876,5786,11171,12106.0,64974,1293,1115.0,1427,571.0,797.0,414,597,1802,2050.0,10066,18.06,13.83,16.84,12.12,17.23,14.39,10.32,16.13,16.93,15.491883,17.17,13.07,16.04,11.19,16.14,13.11,9.53,15.45,16.27,14.683223,18.95,14.58,17.63,13.05,18.32,15.68,11.1,16.81,17.6,16.299413,0.89,0.75,0.8,0.93,1.09,1.28,0.78,0.68,0.67,0.808392
6,78000,84809.0,125101,56399.0,57642.0,41148,77246,156828,167797.0,844970,5483,6096.0,6903,3518.0,3045.0,2676,4790,9178,9000.0,50689,1147,1034.0,1352,486.0,669.0,412,574,1575,1865.0,9114,20.92,16.96,19.59,13.81,21.97,15.4,11.98,17.16,20.72,17.979712,19.84,16.02,18.65,12.67,20.5,14.03,11.06,16.39,19.88,17.006574,22.0,17.9,20.52,14.95,23.44,16.76,12.9,17.93,21.56,18.950959,1.08,0.94,0.94,1.14,1.47,1.37,0.92,0.77,0.84,0.973137
7,78000,84809.0,125101,56399.0,57642.0,41148,77246,156828,167797.0,844970,4611,4626.0,6020,3094.0,2212.0,2299,4261,7710,7046.0,41879,1063,972.0,1306,543.0,595.0,428,703,1556,1665.0,8831,23.05,21.01,21.69,17.55,26.9,18.62,16.5,20.18,23.63,21.085765,21.84,19.84,20.65,16.21,25.05,17.03,15.38,19.29,22.64,19.945436,24.27,22.19,22.74,18.89,28.75,20.21,17.61,21.08,24.62,22.230562,1.22,1.17,1.04,1.34,1.85,1.59,1.11,0.9,0.99,1.142254
8,78000,84809.0,125101,56399.0,57642.0,41148,77246,156828,167797.0,844970,4082,3671.0,5649,2627.0,1655.0,2017,3698,6553,5958.0,35910,1120,903.0,1300,600.0,531.0,449,572,1408,1687.0,8570,27.44,24.6,23.01,22.84,32.08,22.26,15.47,21.49,28.31,23.86507,26.07,23.21,21.92,21.24,29.84,20.45,14.3,20.49,27.17,22.581712,28.81,25.99,24.11,24.44,34.33,24.08,16.63,22.48,29.46,25.149829,1.37,1.39,1.1,1.6,2.25,1.81,1.17,0.99,1.14,1.283567
9,78000,84809.0,125101,56399.0,57642.0,41148,77246,156828,167797.0,844970,3081,2609.0,4808,1829.0,1183.0,1713,3215,5665,4642.0,28745,907,753.0,1084,446.0,409.0,448,560,1287,1588.0,7482,29.44,28.86,22.55,24.38,34.57,26.15,17.42,22.72,34.21,26.02957,27.83,27.12,21.36,22.42,31.87,24.07,16.11,21.63,32.85,24.55929,31.05,30.6,23.73,26.35,37.28,28.23,18.73,23.81,35.57,27.499225,1.61,1.74,1.18,1.97,2.71,2.08,1.31,1.09,1.36,1.469655
